"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","bin"
"sr_L[2,1]",0.908604055466667,0.923518,0.061374883617879,0.0482845755,0.78876035,0.97611685,1.00002039269226,2269.71518375744,3823.48291967399,"1"
"dr_L[2,1]",0.8945364372,0.898046,0.0283100553468676,0.0265630028999999,0.8427674,0.9343951,1.00034898694331,2507.05000285583,4093.3635637121,"1"
"sr_L[2,1]",0.938017622733333,0.9515695,0.0499555143931173,0.0337254435,0.84605,0.98687205,1.00149934766493,1777.22630578729,3461.44779487022,"2"
"dr_L[2,1]",0.930671994866667,0.932681,0.0179089448116388,0.0171143931000001,0.89837935,0.9558512,0.999965932334883,2798.81809226885,5498.08227911456,"2"
"sr_L[2,1]",0.967874659933333,0.975185,0.0260037604170578,0.0173427135,0.9174879,0.99337535,1.00182182584436,1560.21016083237,3192.72539373967,"3"
"dr_L[2,1]",0.9540684392,0.955778,0.012747841058925,0.0120876378,0.9309192,0.97176135,1.00009886877061,2167.94768763876,3928.67763959468,"3"
"sr_L[2,1]",0.987850557866667,0.9909225,0.0108302158279776,0.0066887499,0.96790795,0.99767905,1.00388569361137,914.832650801206,2104.32808233561,"4"
"dr_L[2,1]",0.9749759786,0.975773,0.00667086309989257,0.00640853849999993,0.9628745,0.98428105,1.00039513027647,1154.47159027179,2826.70539783886,"4"
"sr_L[2,1]",0.841657826945333,0.971424,0.33131227058038,0.0270670869,-0.003882848,0.9949163,1.01725709405491,54.964811649812,98.8241130714316,"5"
"dr_L[2,1]",0.976367687066667,0.977518,0.00801855880553945,0.00730328759999998,0.96144185,0.98726925,1.00786720727599,142.704317481248,316.669794761011,"5"
"sr_L[2,1]",0.9817991132,0.9871135,0.0200270485157783,0.0097540254,0.9508945,0.99694905,1.0001505572651,1271.23030638609,2582.14420147689,"6"
"dr_L[2,1]",0.972558985333333,0.973285,0.00654541671769787,0.00629141310000002,0.96081695,0.9819931,0.999956763850131,1874.20388669503,4071.79811057933,"6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7"
"sr_L[2,1]",0.9840250842,0.9878015,0.0137170155454023,0.00895786919999991,0.9586407,0.99697105,0.999938257172609,988.976187652361,1808.32413096843,"8"
"dr_L[2,1]",0.930048264066667,0.931443,0.0142480841525567,0.0138786185999998,0.90386575,0.9506976,1.00062505089695,1450.45365573988,2980.4415405911,"8"
"sr_L[2,1]",0.986846836933333,0.9899655,0.011346924086851,0.00756570780000004,0.96548975,0.99768705,1.00017999476019,1038.15759544194,2187.14312105702,"9"
"dr_L[2,1]",0.969330804466667,0.970076,0.00730227929774641,0.00702233489999997,0.95619485,0.97985305,1.00088392447157,1628.49452718402,3504.21675270731,"9"
"sr_L[2,1]",0.9731701344,0.9785,0.0208223041621712,0.0146540184,0.9342746,0.99413825,1.0003767374843,1513.10622397016,2868.6586007227,"10"
"dr_L[2,1]",0.9469915062,0.94813,0.0120240159324705,0.0115894841999999,0.92582885,0.96449815,1.00014534180577,1904.71897983119,3630.19889000781,"10"
"sr_L[2,1]",0.998714451533333,0.999065,0.00126951825701377,0.000684961200000109,0.99654,0.999759,1.00088738764875,1528.43206912629,2604.62592851721,"11"
"dr_L[2,1]",0.999106667133333,0.999152,0.000311578118821038,0.000287624400000041,0.998524,0.99952505,1.00024476650208,2308.0319283109,4643.52100126582,"11"
"sr_L[2,1]",0.998798488266667,0.9990975,0.00106974883888737,0.000650861400000034,0.99682195,0.999759,1.00069416314448,1080.85207744585,2459.25184590819,"12"
"dr_L[2,1]",0.997606606333333,0.9977085,0.000732173447226596,0.000696080700000182,0.996252,0.998607,1.00071664540329,1564.49392884256,4202.72109908891,"12"
"sr_L[2,1]",0.9973142546,0.9980595,0.00270813685141511,0.00146999789999989,0.9926169,0.999528,1.00173347747179,904.721884675246,2376.65942109633,"13"
"dr_L[2,1]",0.995540303666667,0.995723,0.00132413449633998,0.0012216623999999,0.99311495,0.997356,1.00069604681903,1684.6181966235,3340.74268760063,"13"
"sr_L[2,1]",0.996024161133333,0.997054,0.00363611348362328,0.00196666890000001,0.9896287,0.999042,1.00004260012638,1771.36318361247,3857.32092511479,"14"
"dr_L[2,1]",0.998743024333333,0.998812,0.000428666735144227,0.000385476000000056,0.997941,0.99930805,1.00006888149278,2597.70312066922,5476.38795676131,"14"
"sr_L[2,1]",0.990152901133333,0.9925115,0.00912321067522981,0.00532846440000006,0.9743237,0.998035,1.00042174194586,875.073373402879,1684.42275690224,"15"
"dr_L[2,1]",0.989779814333333,0.9902005,0.00312580305223729,0.0029251698,0.9839986,0.994036,1.00016536624666,882.005974878099,2289.79911534275,"15"
"sr_L[2,1]",0.997635441133333,0.998309,0.00231116323444157,0.00135954419999992,0.99328895,0.99964605,1.00029759819195,814.123060634176,1847.6899239353,"16"
"dr_L[2,1]",0.992626591733333,0.9928655,0.00184837905756937,0.00174798539999998,0.989231,0.995231,1.00048301184184,1202.20511415863,2559.0780282884,"16"
