obs # ,,video,camera,year,month,day,start time,time,focal bat,bat infected,behavior (letter),comment,
1 to x,scorer,file path on hard drive,"channel number (e.g. ""2"" for CH02)",year of video,month of video,day of video,AKA focal hour,00:30-60:00 (s),Bat ID (see bat key),T/F,see behavior key in project plan key,e.g don't know if self or social grooming,
1,,CH02_2019-07-16_18_59_59__19_07_53.mp4,2,2019,07,16,19,0000,cnone,T,sg,FAKE EXAMPLE,
2,,CH02_2019-07-16_18_59_59__19_07_53.mp4,2,2019,07,16,19,0030,cnone,T,g,FAKE EXAMPLE,
3,,CH02_2019-07-16_18_59_59__19_07_53.mp4,2,2019,07,16,19,0100,cnone,T,m,FAKE EXAMPLE,
4,,CH01_2019-07-16_18_59_59__19_07_53.mp4,1,2019,07,16,19,0130,cnone,T,m,FAKE EXAMPLE,
1,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0030,blx,T,g,,
2,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0100,blx,T,g,,
3,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0130,blx,T,g,,
4,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0200,blx,T,g,,
5,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0230,blx,T,g,,
6,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0300,blx,T,g,,
7,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0330,blx,T,g,,
8,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0400,blx,T,g,,
9,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0430,blx,T,m,,
10,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0500,blx,T,m,,
11,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0530,blx,T,r,,
12,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0600,blx,T,r,,
13,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0630,blx,T,r,,
14,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0700,blx,T,r,,
15,Michael A,CH02_2019-07-14_18_59_59__19_07_55.mp4,2,2019,07,14,19,0730,blx,T,r,,
16,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,0800,blx,T,r,,
17,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,0830,blx,T,r,,
18,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,0900,blx,T,r,,
19,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,0930,blx,T,r,,
20,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1000,blx,T,r,,
21,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1030,blx,T,r,,
22,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1100,blx,T,r,,
23,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1130,blx,T,m,,
24,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1200,blx,T,m,,
25,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1230,blx,T,m,,
26,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1300,blx,T,m,,
27,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1330,blx,T,m,,
28,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1400,blx,T,g,,
29,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1430,blx,T,g,,
30,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1500,blx,T,g,,
31,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1530,blx,T,g,,
32,Michael A,CH02_2019-07-14_19_07_55__19_16_18.mp4,2,2019,07,14,19,1600,blx,T,g,,
