focal.bat,treatment,socialgrooming.count,grooming.count,obs.count
rc,LPS,0,2,120
rc,PBS,1,41,118
sc,LPS,0,1,120
sc,PBS,10,32,120
s,LPS,0,2,120
s,PBS,0,2,120
ccc,LPS,0,0,120
ccc,PBS,0,29,109
dcd,LPS,0,1,120
dcd,PBS,0,12,117
dd,LPS,2,1,120
dd,PBS,3,21,120
scs,PBS,2,16,120
scs,LPS,2,0,120
ccs,PBS,0,2,118
ccs,LPS,0,1,120
cat,PBS,0,5,120
cat,LPS,0,2,120
ivy,PBS,0,4,115
ivy,LPS,0,0,120
six,PBS,1,9,108
six,LPS,10,0,118
tes,PBS,0,25,120
tes,LPS,0,0,120
sd,LPS,0,0,120
sd,PBS,1,22,91
rc,LPS,0,0,83
rc,PBS,23,19,120
sc,LPS,0,1,120
sc,PBS,8,8,120
s,LPS,0,0,120
s,PBS,0,8,117
ccc,LPS,0,0,120
ccc,PBS,0,6,120
dcd,LPS,0,0,120
dcd,PBS,1,32,115
dd,LPS,1,0,120
dd,PBS,0,9,120
scs,PBS,7,8,115
scs,LPS,1,2,120
ccs,PBS,0,3,120
ccs,LPS,0,0,120
cat,PBS,0,6,120
cat,LPS,0,2,120
ivy,PBS,0,1,120
ivy,LPS,0,0,120
six,PBS,1,9,120
six,LPS,0,1,120
tes,PBS,4,5,107
tes,LPS,2,8,120
sd,LPS,0,2,120
sd,PBS,4,20,120
