"","behavior","model","effect","Estimate","Est.Error","l-90% CI","u-90% CI","Rhat","Bulk_ESS","Tail_ESS"
"1","grooming","interaction","Intercept",-2.39960005716431,0.196036252146292,-2.72158143338073,-2.08103801613299,1.00260370623709,2961.7920426565,4740.14269072365
"2","grooming","interaction","infectedTRUE",-1.25688687027906,0.298423378842606,-1.74831296196523,-0.76722014404164,1.0007948634078,3072.53308815395,4700.06066175062
"3","grooming","interaction","periodpostMtreatment",-1.01905624555299,0.0941922271285396,-1.17163759855905,-0.865862428082154,1.00046595866502,8072.48907277329,9615.43670768745
"4","grooming","interaction","infectedTRUE:periodpostMtreatment",1.38651387010622,0.139426799069648,1.15627796582971,1.61597305829573,1.00067655810734,7872.90197716781,9803.50928975658
"5","grooming","pre-treatment","Intercept",-2.47259459927946,0.295001782285638,-2.94859290391187,-1.99134183807248,1.00132632577842,3214.43549205324,4891.69668999629
"6","grooming","pre-treatment","infectedTRUE",-1.45763619742444,0.455870981686215,-2.21086056573325,-0.724418772646081,1.00157017581622,3768.28296391735,5328.33963352406
"7","grooming","post-treatment","Intercept",-3.47762373383038,0.237743527233515,-3.86536440708866,-3.08969962133563,1.00157207836242,3396.38987497492,5084.42944852175
"8","grooming","post-treatment","infectedTRUE",0.137180842850107,0.34633539790734,-0.431123615151062,0.686428114287275,1.00188300479503,3453.51593232015,5745.53312064009
"9","self-grooming","interaction","Intercept",-0.337432082097751,0.154497888020092,-0.588646165404553,-0.0868620561706955,1.0011787317158,2596.9076697511,3796.79864144516
"10","self-grooming","interaction","infectedTRUE",0.236444678499679,0.23313977388262,-0.15043736844779,0.61988321648391,1.00068260391753,2582.30893337726,3257.69499767155
"11","self-grooming","interaction","periodpostMtreatment",-1.19142836308343,0.0451337675710581,-1.26661179021214,-1.11691193985899,1.00002130901234,7013.77183393018,7479.74412820771
"12","self-grooming","interaction","infectedTRUE:periodpostMtreatment",0.170382970455313,0.0607291052916776,0.0706402737875329,0.270396708495537,0.999943659092808,6863.0694560313,7864.67949075801
"13","self-grooming","pre-treatment","Intercept",-0.327333845280156,0.227835113514246,-0.695022171272206,0.0411918933918767,1.00213783182966,1784.94498070866,2592.73660225011
"14","self-grooming","pre-treatment","infectedTRUE",0.163067096050889,0.338540955178098,-0.387727941330018,0.741219606717977,1.00132453619547,2301.29207772439,3137.59526471887
"15","self-grooming","post-treatment","Intercept",-1.62411295685473,0.187919162320582,-1.93403229687784,-1.32076380357712,1.00192360389088,2687.74952710939,4159.25852783631
"16","self-grooming","post-treatment","infectedTRUE",0.523700361570074,0.269043652759955,0.089003980303378,0.969491734812801,1.00170270609645,2789.53290203657,4261.61410086105
"17","moving","interaction","Intercept",-0.758550070015163,0.184593790177762,-1.06715565500663,-0.460940920591357,1.0002447290425,2066.37930966748,3344.23248199301
"18","moving","interaction","infectedTRUE",-1.18038496307914,0.27927580826729,-1.63426436352685,-0.731212568603376,1.00049721638952,2390.00994099365,3459.46012218332
"19","moving","interaction","periodpostMtreatment",-0.405703897549816,0.0444531192101943,-0.479621852522598,-0.333024057663714,1.00078689165464,5772.672509312,7356.68520469447
"20","moving","interaction","infectedTRUE:periodpostMtreatment",1.04582877396082,0.0662149198962816,0.937477298297219,1.15545249379537,1.00086310361029,5732.073438261,7660.87437302552
"21","moving","pre-treatment","infectedFALSE",-0.912682206479288,0.119268957691107,-1.10987650482936,-0.719206620531614,1.00126836664594,2991.82143817074,4631.90660505671
"22","moving","pre-treatment","infectedTRUE",-1.76710403652423,0.135479574092819,-1.98399169917906,-1.5431968422222,1.00115164573732,2951.88374375595,4487.02009905281
"23","moving","post-treatment","Intercept",-1.12386996831798,0.304139268077858,-1.62561414188097,-0.625672045305156,1.00507893751743,1473.99480785671,2574.81919818551
"24","moving","post-treatment","infectedTRUE",-0.278505960857138,0.441692871729302,-1.0028734124251,0.451834830171342,1.00380997404535,1740.26971132456,3089.36963899572
